miRanda;target scan;ARL6IP6
KLF5;;ME1
HSFY1;;PPP3R1
CMAS;;C10orf90
STAG2;;NCRNA00171
CCDC92;;DNM1L
RBM12;;SCAMP1
MUC20;;RGPD8
IFNA21;;ARL4A
ZSWIM5;;CCNJL
ZNF507;;PPP1R14C
ARID1A;;LASS3
APC;;MLL3
PDIA5;;KDM4C
RASA1;;BCL2L1
SLC44A3;;CLASP1
C9orf125;;RARB
C14orf39;;SPAST
TMEM14C;;MYEF2
RRAGD;;HCLS1
USP48;;PLEKHB2
KLHDC10;;SPIRE1
SMAP2;;CAMKK2
MMP21;;FAM133B
SLC25A21;;CECR2
LRRK1;;MRPL22
PALMD;;ARHGAP28
FBXL16;;PPFIA1
ANKRD20B;;CCNA1
UNC5C;;SCN9A
SCARF1;;GBP1
SLC39A8;;MFSD6
MBLAC2;;LYPLAL1
ZNF823;;GCH1
ADPRH;;GTF2H1
FBXO8;;RAP2C
VCAM1;;HNRNPC
MRPL42;;RGPD5
RCBTB2;;PPP2CA
ZNF318;;PRC1
RFPL3;;STAG2
TPD52L1;;C9orf125
C6orf167;;MMP21
USP46;;UNC5C
PABPC5;;MMP19
LONRF1;;RGPD6
FAM119B;;SUCLG2
PTPRM;;GOLGA4
PTBP2;;FBXO21
IFT57;;CCDC6
DLGAP1;;FAM73A
ZRANB2;;SOS1
MMP19;;EML1
BPIL2;;FCER1G
NUPL1;;LOC441454
KDELR3;;NOS3
ANAPC1;;PARP11
GTF2E2;;OSBP2
METAP2;;C14orf138
EEF1A1;;XPNPEP1
SFRS11;;ZNF232
CCDC18;;PAK7
SYT4;;OR7E5P
RPP40;;EBAG9
ZYG11B;;CCPG1
BBC3;;EIF2C2
PSMA2;;DKFZP686I15217
RGPD6;;HOOK1
SLC25A36;;CYP2U1
TRPC6;;TMEM87A
NFAT5;;GLP1R
SUCLG2;;ERRFI1
TMEM207;;C7orf45
NDEL1;;NTRK3
EIF2C3;;BCL2L14
C17orf104;;TNFRSF19
OPN5;;ZDBF2
RNF220;;ZIK1
C17orf56;;ADAMTS9
SRCIN1;;TM6SF2
LYSMD1;;HS6ST2
COBL;;TMEM70
DKFZP434H168;;USP47
RGL1;;NAALADL2
TXNL1;;LIN52
FRMD3;;CCL16
PARP15;;C14orf106
GCFC1;;DNAJC3
TMEM67;;AVEN
SV2A;;CCDC144A
ARHGAP11A;;AHNAK
LAMA1;;FAM123B
REXO2;;EN2
FAM40A;;RNASE13
RANBP3L;;KDM3A
EIF5;;DDX52
ADH1A;;TIMM17A
LEFTY1;;HIVEP1
ZNF252;;MOCS3
TIGIT;;FLJ41278
PGM2L1;;LIN28B
TRAPPC6B;;AKAP10
PRKG2;;CREB1
GLCCI1;;FLJ26245
GOLGA4;;MGAT2
UNKL;;CHORDC1
PITX2;;FRMPD4
ATF7IP;;FABP7
RAB10;;CHIC1
OAT;;AIDA
C5orf41;;NFIA
ELAVL3;;PTGS1
YPEL5;;NCAM1
DOCK5;;KLF10
KITLG;;LOC100128505
PCYOX1;;BRD1
NPY5R;;WDR44
C12orf56;;RAD23B
TEX14;;EIF2B1
NDST3;;TTLL12
MYO16;;ABCC10
BCL11B;;FRK
PPM1B;;BTBD1
GPR180;;CAMK2D
MCF2L;;ARL8B
APLP2;;RAB4B
MRPL18;;MYD88
EPHB2;;RRP1B
SLC4A1AP;;NEK1
SFRS15;;ARFGEF1
NUDT12;;GALNT13
DIP2B;;STXBP1
RGS22;;KIAA1024
EXOC4;;ZDHHC14
MTMR15;;NRBP1
MON2;;GPR124
BEND7;;AWAT2
RGS2;;CREM
ADAM22;;LMOD3
LPPR4;;FAM151B
LOC203107;;RUNDC3B
OSR2;;SEC23IP
SOS2;;C17orf54
RPS7;;SNORA11C
CSNK1A1;;VAPA
FBXO21;;MFAP3
SH2B3;;HIP1
LOC400622;;ZSCAN18
CCT6A;;ZNF318
ADAMTSL5;;ZNF133
ATG5;;BEX1
INCENP;;ASB2
RNF114;;CUL2
SH3GL2;;JAK1
SET;;TMEM30A
RAB27A;;YIPF5
METT5D1;;LOC253039
ZNF133;;CTDSPL2
C16orf46;;LOC440131
SECISBP2L;;KIAA1522
SHOC2;;C3orf58
MYCL1;;NEIL2
TMEM79;;CNKSR2
ZFP36L2;;CRCP
SLITRK4;;SLC38A2
PAAF1;;LRRK2
MIER3;;DPY19L1
SERINC3;;NPAS2
LIMS1;;C4orf31
PPM1L;;RAB39B
LRRC42;;TTLL2
SEC11C;;KDM5B
XPR1;;SLC25A34
CCDC6;;FAM23B
NT5C3;;RNF169
MTA1;;RECQL5
BTF3;;SNORA11D
GON4L;;B3GNT6
RSRC1;;ERO1LB
TAF12;;PIK3R4
TP53BP2;;PSMD5
TCTE3;;RASD1
PRDM5;;MRPS22
C14orf49;;VLDLR
RAPGEF6;;TRPS1
TFB2M;;FGD5
ZBTB43;;C12orf23
NECAP1;;SCD5
FZD3;;IAH1
ACP2;;WDFY2
BEX1;;TMEM64
TRA2B;;USO1
CYB5R2;;CYP19A1
PPP1R2P3;;SYT9
FAM46A;;FAM23A
LOC283914;;RNF157
C7orf60;;ANO4
TNFSF9;;ATP6V0A2
AMOT;;CAPZA1
FGF23;;AP3M2
NKAIN2;;FAM133A
SERPINI1;;ITIH5L
ASZ1;;SSH2
ADRA2B;;ARHGAP10
FAM73A;;AFG3L1
PATL1;;ATAD2B
KIAA0101;;LRRC8C
TMCC1;;CABYR
DNAJC25;;NAP1L3
B3GALTL;;EPHA3
SOS1;;DPY19L2
SKIV2L2;;LOC654433
Sep-06;;COL1A2
NLRP3;;PRRT2
FAM49A;;ABHD4
GRK5;;FAU
ATG4C;;BRIX1
TMTC1;;TNXB
PSMD10;;RNFT1
GCOM1;;ADRB1
SLC35F3;;KHNYN
C17orf71;;PRKAR1A
ZMPSTE24;;P4HA2
RUFY3;;PDE4D
MARK1;;FAM179B
SCAPER;;SNX30
LPCAT2;;AP2A1
HABP4;;C10orf118
FAM192A;;GNPDA1
CATSPERG;;C21orf91
AMMECR1;;DCBLD1
RPAP2;;CD300LG
CLEC5A;;C3orf59
NMI;;HNF4G
SLCO6A1;;NBR1
GTPBP10;;ZNF260
ZNF334;;FRZB
DNAJC13;;PDS5B
SP2;;ZNF566
UGT2A3;;TIMM23
MICAL2;;TC2N
WIPF1;;LYSMD3
VPS4B;;RPGRIP1L
OVOL1;;CBWD5
TLR3;;CCDC144NL
SLC11A2;;KTELC1
GUCY1B3;;ZCCHC6
RAB28;;LOC339240
MARCKS;;DIP2C
PGM3;;SOX12
IL7;;MUC17
LOC340113;;TMEM121
ELL2;;RRAD
ZDHHC17;;C18orf34
PTPRC;;C1orf99
FAM19A2;;KDELC2
SCP2;;SLC25A36
CCDC148;;LYSMD1
RPAP3;;EXOC4
ZNF473;;SH3GL2
SOCS1;;LRRC42
PRPF4B;;TRIM31
ATAD2;;ATP8A2
SFI1;;HTR4
ASB2;;FAM153A
CDH8;;FAM20A
SLC7A6;;EBF2
IL15;;NRP2
CAPN5;;SLC39A10
ACAD11;;TSGA14
DSEL;;TP53INP1
TEC;;FOXA2
ALDH6A1;;PRKRIR
MYO18A;;GAB1
TRIM31;;RBM26
DR1;;H3F3C
C13orf18;;C8orf44
FLJ39639;;LOC162632
C22orf30;;SUPT3H
MIA3;;TMEM35
CEPT1;;CCDC34
DPYS;;FYTTD1
PPAPDC1B;;FAM13B
LBR;;C11orf21
ZNF747;;CBWD1
E2F7;;SAP30BP
S100A7A;;EPN2
DNAH7;;TMEM168
IRF2;;LOC677759
MMP14;;C6orf225
NCKAP5;;TNXA
UPRT;;ZFAND1
GM2A;;ALG2
PROCR;;CREG1
GBP5;;CA13
PDCD10;;KIAA1430
IFT88;;TRIM61
SPAG16;;HERC3
CSAD;;PPEF2
CASP3;;EDC3
STEAP1;;C5orf44
PEX14;;SDC2
USP37;;RALGAPA1
KCTD12;;STAU2
TMEM182;;DAG1
SOAT2;;LOC440248
MTHFD1;;TMED2
C13orf15;;IREB2
SH3BGRL;;CFDP1
MYBL1;;ACSM2A
TMEM133;;TMEM107
TNKS;;C10orf25
PDLIM4;;WIPF1
RAB11A;;MTHFD1
QRFPR;;ZNF551
APOBEC3H;;SNORA11B
SLC41A2;;LOC401093
DCN;;KIAA1244
DNMBP;;LAMC3
WNK1;;CWC15
CNTNAP3B;;C10orf76
UTY;;PTGIS
SLC6A3;;JOSD1
RSPH3;;CHMP4B
REG1B;;PCGF3
ZMAT4;;MBP
CUL2;;C5orf43
RGS21;;OBSCN
PRKG1;;SNORA11
SLC3A1;;GNPTAB
IQSEC1;;LARP4
IL12B;;MBNL3
ALG9;;SLC6A9
MYL12B;;ABL1
ODZ3;;FBXO28
C8orf45;;MSI2
PPARG;;SATB1
AMOTL2;;ESRRG
FCHO2;;MTSS1
ATP8A2;;CD2AP
SENP7;;SIGLEC8
PPP1R9A;;BAHD1
SNAI1;;PPP1R12A
ZCCHC10;;EPB41L5
SIKE1;;NPR3
RHEBL1;;COL4A3BP
MRPL49;;LDHAL6A
HTR4;;PTPRD
TMC8;;URGCP
EML1;;SH3BP5L
DBF4;;RAB23
ZNF549;;MLL
PIWIL3;;GLS
JAK1;;LOC29034
FAM153A;;DNPEP
TBC1D2B;;PLIN1
CCNT2;;MGEA5
OSBPL1A;;C6orf201
TXNDC5;;SMNDC1
AR;;UPK1B
CHD6;;DNMT3B
TMEM30A;;MAP3K15
RBM8A;;ARMC7
CDCA4;;LEPR
HSD17B12;;UBE2J2
FBXW8;;PLA2G12A
FRS2;;KCNG4
GTF2IRD2;;NFYB
HULC;;ELF1
CAMK4;;MPP7
SC5DL;;MATR3
USP42;;KCNH5
APIP;;PLEKHA7
MIA2;;BCOR
UBE2E3;;EIF1AY
SEMA6D;;AFAP1L2
BPTF;;YME1L1
ARMCX3;;ZNF148
CCL19;;PPP4R4
USP19;;MBTPS2
ZPBP2;;FGL2
HRASLS5;;LOC647309
RELL1;;KLHL13
TRIM32;;STAG1
TDRKH;;DDX60L
JARID2;;CYLD
FCER1G;;RAB14
RRM2;;RPP40
DNAJC28;;GCFC1
EPB41L2;;EIF5
WDR20;;NDST3
RAB7A;;MCF2L
YIPF5;;MTA1
ANKS6;;C7orf60
RAD9B;;ADRA2B
NIPBL;;ZNF473
FBXO38;;S100A7A
GALNT4;;UPRT
TSHZ3;;PEX14
TCTN3;;FCHO2
PCDH11Y;;CCNT2
MAP3K1;;TXNDC5
KIAA1147;;SYPL1
EEPD1;;IKBIP
LOC441454;;ASFMR1
MIER2;;USP6
SIAH1;;OCRL
REXO4;;IL25
PAPD5;;SLC6A15
UBR7;;BAGE
ETNK2;;ANUBL1
FAM20A;;ERCC4
CNTNAP3;;NCRNA00115
SORCS1;;SLC25A37
ARL14;;GOLPH3
MOCS1;;NHS
RIBC1;;C8orf4
ANKRD30B;;CD96
KLHL4;;CYP24A1
MYH10;;TSGA10
PAQR5;;TTLL7
C15orf17;;PLSCR5
TMEM215;;PAIP2
IL9;;ZNF547
FLJ26850;;FBN2
TUBB3;;ZNF337
FAM199X;;NCRNA00219
ARL10;;ITPK1
ALS2CR11;;GMCL1L
CSGALNACT1;;STX12
PER2;;SLC38A6
SYPL1;;BEST4
PCGF5;;CUL4B
FAM156B;;POLDIP2
NOS3;;CLASP2
TET1;;TOMM5
C1orf129;;BEND7
HOMER1;;PSMD7
ZNF828;;C16orf87
BEAN;;C4orf46
TBC1D15;;KCTD16
DHRS4L2;;SMARCD1
SLC4A7;;IGF2R
AASDHPPT;;SLC35F1
ZNF544;;MYPN
SOCS2;;FAM13A
IKBIP;;YPEL2
TNRC6A;;SSTR2
C4orf42;;TRIM27
GTF2IRD1;;FZD10
PLAG1;;C11orf58
JPH1;;MPZ
FAM131A;;PSMD9
FRG2;;ZNF451
SMAD5;;TBX5
TAF6L;;C10orf4
PPP3CB;;RAB38
MBD5;;FKBP3
METTL9;;MAST3
SAFB;;QSOX2
PARP11;;MXRA5
TMEM100;;STARD9
BCAP29;;LRP1
COG3;;FUT4
NMNAT2;;ZFC3H1
VAV3;;DEFB132
PPP1R3B;;NANP
TMEM55A;;ZNF680
AKIRIN1;;CYYR1
CDC42SE1;;PM20D2
HECW2;;FOXP2
MED28;;PTS
DHODH;;PELO
BDP1;;SLC9A4
EBF2;;TM4SF1
SSTR1;;IL1F5
SSBP2;;LOC400027
PKNOX2;;TMEM99
ATM;;LRRC19
SHISA9;;GMEB2
ZNF624;;ZNF529
TULP4;;ZMYND8
PTGER2;;OR12D3
HCN3;;YWHAZ
TMEM87B;;TRIM10
SMARCA5;;ENTPD1
LOC253039;;SPG20
SRP54;;TFAP2A
DNAJB14;;KIAA1949
ANP32A;;FAM83F
SEMA6B;;AFF1
C21orf99;;C12orf48
C14orf118;;NPAS3
COPS2;;SWAP70
PPAT;;GPR155
ZNF345;;CECR1
PLIN3;;STAU1
TP63;;KPNA6
HDAC8;;RAB2B
LOC150786;;GRIA2
TTC33;;ARL13B
BANK1;;CALD1
NRP2;;FCRL1
VPS29;;NAP1L1
SP4;;PCGF6
COL29A1;;RECK
SKAP2;;SCN3A
KIAA1211;;EPB41L4B
PLCH1;;TPMT
UBE2J1;;HNRPLL
FSTL5;;EPHA7
YPEL2;;CCDC135
GPC6;;ZNF585A
MIS12;;SETD3
SLC22A23;;SIX4
UMODL1;;PPP2R5E
NPC2;;MRI1
KIAA1279;;DACH2
RP2;;VAT1
GNAQ;;RALGDS
C14orf129;;LOC158572
GMFB;;SLC4A8
ZSCAN29;;A2BP1
OSBP2;;GRM3
PDAP1;;CRISPLD1
RNF146;;TRERF1
PATZ1;;DLX1
PDE7A;;APBB2
BPNT1;;ALDH2
NOTCH2NL;;LOC100133029
RDH14;;HIC2
SLC39A10;;CALU
FKSG83;;PLEKHO2
TSGA14;;LOC643327
DZIP3;;SEMA6A
LRRC37B2;;UBE2I
CCDC36;;POLI
PAIP1;;RCAN1
SLC6A14;;UBE2D3
CELF4;;SRPR
COMT;;CCDC14
CRYGN;;P2RY10
CCDC82;;CDCA8
CCPG1;;ZNF286A
WNT2B;;RNF103
PODXL;;COL13A1
CTDSPL2;;OLFML2B
BTG3;;IL28RA
TP53INP1;;MPPED1
KBTBD8;;SLC5A11
ASFMR1;;FAM69A
LATS2;;KIAA2026
WDR78;;BID
DOLPP1;;TSPAN8
LOC400696;;FRMD6
PRCP;;HEATR5A
SLC35C1;;RAP1B
APH1B;;CBS
USP9X;;DNMT3A
USP6;;FAM110B
HSPA5;;CLDN12
DDX4;;ATP11C
RPN2;;RHEB
C9orf103;;CCDC97
C1orf27;;VIPR1
LOC285419;;MTHFSD
MRPS14;;KPNB1
GNA14;;FLJ30838
LOC100286844;;RRN3
TMEM126B;;SAE1
ETAA1;;PLXNA2
FLVCR2;;DCAF5
PSG11;;DSP
DNAJC7;;RPL10L
OCRL;;FCGR2B
EMB;;RHD
LIN28A;;ZBTB38
NOX1;;RNF182
ABHD1;;DGKD
ALKBH8;;TREML4
ATL1;;KLHL24
C8orf83;;C10orf26
ZC3H7A;;ABCD2
KRT222;;NCRNA00119
TNFSF11;;PGM1
KIAA1919;;CALCR
LOC284889;;TRPM7
MNT;;ZFAND6
REEP1;;Mar-05
IQCH;;SLC30A5
CDC42;;SCYL3
USP14;;INTU
POLR2A;;LOC400804
SLK;;PXK
IL25;;TIAF1
NCOR2;;PPAPDC2
LRRC3;;FAM26D
DTNB;;MAGI2
KBTBD10;;SLC12A6
SLC16A10;;C12orf29
WTAP;;SOX13
EMCN;;DNAJC21
LOC440131;;NAP1L2
SLC6A15;;SAPS3
EP300;;IL1RAPL2
KCND2;;MOBP
RAB8A;;HDAC5
HCFC2;;ESPN
MPL;;ALG6
RTKN2;;POLE3
OPTN;;MTF2
KIAA1522;;PIK3CD
RUFY2;;CALB2
SLCO3A1;;PFN2
CXCL13;;SDK2
EWSR1;;DCAF4L2
GDE1;;RAPGEF2
FNBP1L;;SMARCE1
GPM6B;;C21orf105
BNC1;;NEK4
MTBP;;SCRN3
TLL2;;RARG
MORC1;;HNRNPM
PKNOX1;;SYP
CEP152;;LOC284749
SLC24A1;;FAP
LOC400940;;CLUAP1
C3orf58;;MYO1C
LAMB4;;ACTBL2
C14orf138;;CACHD1
PXT1;;LOC145837
BAGE;;UBXN7
REEP3;;TBRG1
TBC1D20;;VPS13C
FIGNL1;;WHAMML2
WSB1;;TSPYL6
PREPL;;BCL2L15
UBE2E2;;MUC20
TMEM69;;KLHDC10
FOXA2;;ZCCHC11
OR2C3;;NDEL1
PANX1;;C17orf56
GALNT2;;DKFZP434H168
FREM2;;RGL1
EXT1;;ARHGAP11A
PLS1;;NPY5R
KCNB2;;LARP1B
NDUFAB1;;DIP2B
CD38;;MTMR15
C9;;ADAM22
SOX4;;SH2B3
FRG1B;;ADAMTSL5
TXNDC12;;METT5D1
CD99;;TMEM79
SCEL;;ZFP36L2
RNF7;;C14orf49
CTNND2;;FZD3
WDFY3;;CYB5R2
JAZF1;;KIAA0101
CDHR3;;NLRP3
MIB1;;HABP4
ITGB3BP;;CLEC5A
EXOSC3;;DNAJC13
CADPS;;OVOL1
TMEM86A;;ZDHHC17
SLCO1B1;;SLC7A6
UBA3;;MYO18A
DCAF8L1;;PPAPDC1B
OMG;;CSAD
DYNLL2;;STEAP1
EML4;;RAB11A
ARHGEF6;;SIKE1
LOC255187;;DBF4
GPRC5C;;HSD17B12
HELLS;;DNAJC28
NEIL2;;ANKS6
UBQLN4;;RAD9B
KLF9;;GALNT4
GALNT10;;MIER2
PKIB;;MOCS1
STK35;;MYH10
CAMTA1;;PAQR5
PCDH17;;C15orf17
FMR1;;C1orf129
YTHDC2;;TBC1D15
RBM3;;SLC4A7
MAP9;;ZNF544
TPBG;;AKIRIN1
THRAP3;;CDC42SE1
FAM81B;;BDP1
TTC39A;;TULP4
C12orf61;;PTGER2
NIPSNAP3B;;HCN3
SFRS13A;;SMARCA5
PRKRIR;;DNAJB14
ADCYAP1;;ANP32A
TRDMT1;;SEMA6B
ERCC4;;COPS2
ADCY7;;PLIN3
C10orf18;;TTC33
RPA1;;FLJ43390
ARID4A;;PDAP1
SFRS9;;NOTCH2NL
CNKSR2;;LOC100286844
CXorf23;;KIAA1919
XPNPEP1;;LRRC3
IL17RB;;KCND2
MAP3K7;;RAB8A
MARVELD2;;MPL
NCRNA00115;;GDE1
SLC25A37;;BNC1
MAP4K4;;LOC400940
IFNAR2;;FRG1B
TAOK1;;CTNND2
NTF3;;UBA3
ZNF488;;DCAF8L1
KAL1;;EML4
NCK2;;MAP9
SSB;;SNAPIN
ANKRD57;;ATR
SLC44A5;;SEC63
OCA2;;NDUFA5
SLITRK3;;TPRG1
SCYL2;;PPIL3
CRCP;;KIF11
EFCAB6;;C1orf52
NUDT16P1;;NRXN3
ZNF281;;TSEN15
GOLGA8B;;ARHGEF12
IKZF5;;EHF
CCBE1;;PCNA
UEVLD;;MUT
CD109;;DHX40
ZFYVE26;;KCNMB2
SH2D1B;;EFNA3
SPA17;;EIF2C1
ZKSCAN2;;SGCB
TMEM185B;;MTMR9
ZKSCAN3;;PABPC1L2A
OXR1;;EHMT1
GLT25D2;;PAWR
STAT2;;ADAM19
VPS13B;;BHLHE40
TNFSF8;;MYO5A
ATAD5;;GUCY2C
ITGA5;;C1orf26
C5orf53;;GTF2E1
TCF4;;MYO1H
TRNT1;;CRNKL1
WNK3;;TMEM181
TRPM6;;ARHGAP26
PARD6B;;SNX18
MTHFD2L;;PCDH9
FUNDC1;;LUZP2
ALPK2;;DHRS1
KLHL5;;GNAS
PPP3R2;;DET1
WDR61;;ZFYVE28
FAM189A2;;ITGA4
LOC728855;;DDAH1
SNAPIN;;DNAJB6
NBPF3;;MGC12916
ATR;;CA10
RTN1;;CNTD1
TMEM170B;;CYP3A5
MED6;;ZCRB1
WDR1;;CCNF
AFF3;;DOCK10
ATP7A;;ZBTB41
ANO3;;LHFPL2
CFHR5;;C2orf58
RLN2;;MYL1
GAB1;;C2orf67
SEC63;;PON2
SYT9;;LOC728392
NDUFA5;;SLC7A10
ERG;;AGPS
LOC727896;;PGM2
PGAM4;;LOC645323
ZNF644;;E2F3
TPRG1;;VPS36
SLC38A2;;RSAD1
PIAS1;;IFFO2
NT5DC1;;SLC22A23
LRRK2;;DEPDC4
ZNRF3;;SGMS2
LMLN;;IFIT1B
GRID1;;AP1AR
DPY19L1;;TAB2
STAC;;ATP2B1
PPIL3;;CYB5B
ZNF232;;TUBGCP4
CSN1S1;;MTCH2
KIF11;;C8orf34
C1orf52;;Mar-06
TADA1;;OXNAD1
PTPN22;;TYRP1
GOLPH3;;ARCN1
NRXN3;;C7orf63
TSEN15;;EIF2S1
EPC2;;SORCS3
PIGL;;LOC283585
COG2;;ADARB1
LOC100129620;;PPARGC1A
MAL2;;NEBL
ARHGEF12;;PAQR9
POP1;;DNAJC16
CNOT2;;SFRS2IP
HLA-L;;MID2
NPAS2;;PNPT1
SLC35A5;;C8orf42
SNX6;;DLL4
CLNS1A;;PIP4K2A
ZNF214;;ALS2
BIVM;;CPNE3
NUFIP1;;NIPSNAP3A
EHF;;RAPH1
GAGE1;;BEND3
PCDH19;;OTUD6B
BRD3;;LOC642236
IQGAP2;;C3orf57
RBM26;;RNF213
RMST;;LRRC40
BUB1;;PABPC1L2B
NHS;;PDXDC1
CMTM8;;RIC8B
HHIPL1;;PKHD1L1
NKAIN1;;CRP
PAK7;;PLEKHM3
OR7E5P;;NF1
C11orf61;;HOXA11
MUT;;MGST2
SNX33;;C8orf76
PNN;;CCDC43
C4orf29;;LOC285359
LRCH2;;NPEPPS
DHX40;;GNB4
FNDC3A;;ZNF286B
ADC;;CAMK2N2
USP16;;GABRA5
TSPAN12;;FBXL17
EBAG9;;GAN
PEX3;;PRDM13
LPPR5;;TRIM2
ZBED1;;ECT2L
CLOCK;;PPID
DLGAP4;;SLC23A2
EIF2C2;;TP53INP2
S1PR3;;SDAD1
May-01;;STK39
CISD1;;C18orf16
RHOBTB1;;STAT4
LOC100128554;;FAM136A
THOC2;;PNKD
ELOVL2;;PCM1
H3F3C;;CDC73
C8orf44;;FBXO45
KCNJ3;;KIAA1310
NR3C1;;MRPL46
ZIC5;;GCG
NHLH2;;TMCO4
ZNF688;;TRIM44
STK3;;SLC30A4
MIR34A;;H6PD
CLCA3P;;WDR26
MLXIP;;FNIP2
C4orf31;;UFM1
GPR125;;GPR19
ZNF295;;FAM46C
NAAA;;C1orf112
GOLT1B;;NCOA7
APBA1;;VENTXP7
LCLAT1;;MAP6
AHR;;MAP3K5
KCNMB2;;INTS6
SEC24A;;SLC46A2
AGR3;;CHD9
SIGMAR1;;SERPINF2
DENND3;;HMG20A
LASS6;;CHST2
EFNA3;;LHFPL3
LRRN1;;ARF4
PDZD2;;ADRA1D
GOT1;;LRRC16A
PEG10;;FAM102A
RABGAP1L;;RGS1
C20orf103;;EFHA2
HUWE1;;NEURL1B
EIF2C1;;KIAA1826
LYVE1;;SLC7A5
SGCB;;ASXL1
psiTPTE22;;ENPP4
TCHP;;LOC730811
MPZL2;;FDX1
MTMR9;;GOLT1A
EDNRB;;FLJ16124
C3orf33;;LYRM7
LAPTM4A;;LACTB
PDGFRA;;C14orf126
FXC1;;RBM42
DKFZP686I15217;;PLB1
BBS9;;FAM188A
FAM169B;;FAM126A
SLC38A7;;MAST4
MYCBP2;;GPR111
MMD;;WDR89
PDK4;;RPIA
HOOK1;;HDAC4
GAS8;;ADAM7
IMPAD1;;ITK
JAK2;;RWDD4A
CROT;;LOC285812
PABPC1L2A;;LOC150568
EHMT1;;FLJ10661
STXBP3;;USP34
GOSR1;;RALGPS1
C6orf118;;ABCB5
CDKAL1;;CSNK1G1
PSG5;;MPP5
ENOX2;;TRIAP1
AHI1;;IL17A
ZRANB3;;SUPT4H1
KCNK10;;RAP1BL
HEMGN;;SELS
RAB39B;;TMEM50B
FAM126B;;UBE2V2
NRSN1;;C12orf10
C8orf4;;ARPC5
UBE2G1;;SHISA3
PROX1;;SLC16A14
LOC162632;;CHKA
PAWR;;SIX1
LRRC58;;C6orf35
ZNF746;;TRMT5
CD96;;ACTR3C
DENND5B;;NDUFC2
CYP24A1;;NDUFA12
ADAM19;;CENPW
PPCS;;SYCP1
TRIP4;;KBTBD6
TSGA10;;TTC28
GZF1;;SEC62
CXorf58;;ADAMTS20
TOX;;PRKD3
NARG2;;C22orf32
ZNF720;;ZBTB11
RPTN;;TWISTNB
ZNF20;;PAPOLB
PAX3;;ZNF322A
SAMD4A;;WNT9B
OTUD4;;ZNF449
TNFRSF11B;;BCL10
NRXN1;;NLN
CDC14A;;C3orf65
C16orf62;;C22orf28
MTDH;;ACPL2
CUL3;;PTPRB
TPH1;;OAZ2
AKNAD1;;EHBP1
CAMK2G;;ATP8B4
NEUROD6;;LRRC7
PTPRZ1;;RTN4
SLC35E1;;ACTR3
ZNF678;;TRPC4
MRO;;ODZ2
CBFB;;SLC5A1
DGUOK;;SV2A
ERC2;;C16orf46
LOC728196;;TTC39A
RPAIN;;SLC44A5
WWP2;;ZNF281
CYP2U1;;NR3C1
SUPT3H;;CTCF
LOC729307;;RBBP5
FAM72D;;HNRNPA1
TMEM35;;COL15A1
KIAA0355;;DDX3X
EMP2;;TFAM
TTLL7;;CREBBP
VCL;;COBLL1
MAP2K6;;B3GALTL
C14orf28;;SH3BGRL
FOXD1;;RDH14
BHLHE40;;RBM3
NFX1;;PTPN22
SEPSECS;;NT5C1B
MYO5A;;SH3GL3
BHMT2;;BANP
TMEFF1;;TMEM196
PITPNM2;;CR1
PAPD4;;C20orf24
CNDP2;;HSPA2
CHD1;;KDM6A
TRDN;;NAA35
SNRPN;;PRNP
CYR61;;MSL2
SNX3;;ACSL4
SART3;;ABCA6
CHD2;;RGS7
MARS2;;HEY2
STC1;;UNC45B
TIMP2;;ANKRD26
ZCCHC24;;FAM13C
GUCY2C;;LYSMD2
SYNGAP1;;PROCR
TRAM1;;UTY
TTLL2;;CDCA4
RASA3;;WDR20
PLSCR5;;TSHZ3
SLC30A1;;METTL9
SV2B;;FNBP1L
SMG1;;PLA2G5
GLP1R;;ADAMTSL1
SYT17;;MYO1D
BBS10;;ZNF367
U2AF1;;STRAP
C5orf47;;TTC30A
C1orf26;;RGS11
DYNC1I1;;BAZ1B
EXTL2;;MAN1A1
CRISP1;;AG2
RIOK3;;C17orf97
SERPINB3;;CPT1A
ARHGAP15;;MAMDC2
LGI3;;HNRNPA0
KDM5B;;GPC3
Mar-08;;CALCB
ERRFI1;;ABCC6P1
SEMA4D;;SPSB1
SLC25A34;;ABCD3
CEP76;;ARID2
STAMBPL1;;CDH2
OSBPL11;;RDH5
PIGZ;;CYP4B1
GTF2E1;;MEST
POLA1;;UGP2
ATXN2;;EIF2AK3
RAPGEF4;;IFT80
ST8SIA4;;PNRC2
RBM15;;WLS
ESAM;;LOC374491
RIT2;;THEMIS
YY1;;SLC25A21
CCDC34;;SCP2
SOD2;;SLC16A10
FGF9;;PANX1
C7orf45;;NCK2
CENPA;;C5orf53
FYTTD1;;RTN1
SLC38A6;;ZNF678
ANKRD5;;C9orf156
KIAA1324L;;BBS5
C3orf1;;FERMT2
TMSB4X;;CTNNA1
IRS1;;NAV3
RNASE4;;RAI1
MAPRE1;;AP4E1
MYO1H;;TM4SF4
KPNA4;;XGPY2
CRNKL1;;GORAB
GXYLT1;;C17orf42
TAF4B;;MAGEH1
TMEM181;;MEOX2
BTBD7;;KIAA0528
CSDA;;MID1
ALDH1B1;;GRID2IP
SEC61G;;AKAP11
LRRTM1;;TDRD7
CHSY1;;C15orf41
ZKSCAN1;;TPH2
ARHGAP26;;MAPK10
EDIL3;;C12orf39
ZSCAN21;;FANCM
TANK;;TGFBI
SNX18;;ARID3B
ASCC3;;DOCK3
RIMS2;;FAM49B
