miRanda;target scan;ARL6IP6
SETD3;TMEM170B;LAPTM4A
ACTR6;SLC6A6;TMEFF1
NFIA;CAPN5;B3GNT5
UAP1L1;SBK1;TAB3
RNASEH1;TXNDC5;SLC30A10
IGF2BP2;TDG;FAHD1
HSPA1B;ARID3A;SMARCD2
TRPA1;NRIP1;ICK
ABCG5;ARL10;TRDN
HERPUD1;RASA2;C1QL1
ACBD3;XPO1;MEX3B
WDR82;FAM131B;DEXI
KLHL1;TNKS;VENTXP1
EPB41;MAFG;C10orf72
CDC7;ELL;NUS1
FAM18B;PRICKLE1;AKAP6
EPB41L5;PAFAH1B2;ZNF552
PSEN2;RGS9BP;TGDS
PLDN;DLGAP4;DYNLT3
SIX4;GPR157;FLJ22763
CACNB2;PTPDC1;HTR1F
C8orf85;PIK3R2;DIRAS1
PPP2R5E;LRP6;RNF32
LASS3;NACC2;LPP
RNF19A;VASH1;PIK3C2B
NPR3;INO80D;PDZK1
KIAA1598;C7orf43;TGFBR2
NPNT;FOXG1;TMEM135
ANG;REEP3;ABCA12
MRI1;ADAMTS3;MYOZ2
DACH2;FAM199X;KIAA0040
YBX1;TIA1;TIA1
SLCO1A2;CALB2;LOC153469
MANSC1;SEMA6B;CCNE2
RCE1;PHACTR2;AGBL4
VAT1;CCDC43;CNOT6
C17orf85;RNF122;SMAP1
RPA2;MIER2;ADD1
EML5;BCL11B;DOCK8
NLK;CPEB3;PCMTD2
VARS2;TNPO1;HS3ST5
NUFIP2;MLK4;ERLIN1
RALGDS;TMEM181;MMGT1
FHOD3;SPCS3;GNG10
ZMYM2;GRHL2;TRPC6
ZFP3;RCAN1;GCOM1
ROD1;OSTM1;MARK1
KIAA1549;BDP1;REXO4
CLDND1;SAMD4A;KIAA1211
DCAF17;BSN;NFAT5
IL6R;SNX33;DTNB
PHTF1;ZNF746;GALNT2
ABI3BP;NEURL1B;CXorf23
LOC158572;DBF4;FNDC3A
ELMO1;MAST3;ZNF20
ACTN1;SLC9A8;MTDH
CTBP2;EDC3;NEUROD6
SMC2;NAA25;C14orf28
TEX12;NUFIP2;SV2B
RAI2;ZNF704;EDIL3
TNKS2;RPS6KA5;QKI
COBLL1;KXD1;TBC1D5
SLC4A8;FUT4;TICAM1
NEDD4L;TRPM3;CCDC142
FILIP1;RRAD;VPS26B
MLL3;SYNGR3;PTGDR
PHIP;BECN1;NEU4
A2BP1;TMEM121;DNAJC25-GNG10
C15orf41;DOC2A;SYNGR3
RFFL;JPH4;ADPRHL1
DGKE;LCLAT1;NRIP1
GRM3;ADAM9;RASGRP3
PTPRB;HOXA11;ABHD6
KDM4C;VOPP1;PQLC3
C14orf101;LOX;SOBP
SNRK;AGO2;BTF3
CRISPLD1;HDAC9;EEA1
OAZ2;RASSF4;RCOR1
SNRNP48;CNTN2;KIAA0776
RSF1;C10orf76;WWP1
CDKN1C;SLC36A1;FAM43A
ANUBL1;REEP1;BOD1L
ATP8A1;A1CF;NIPAL3
TMEM135;KCNN3;TCHHL1
NAA35;GRIN2A;CEP350
MAGI3;FKBP14;DCP1A
GLUD1;LMBR1L;RABGAP1L
PTGS1;SMAD1;FAM109B
AKAP1;RASD1;GUF1
ARID2;EIF3A;PALM2
CYP39A1;ZCCHC2;MEIS2
KHDRBS1;RAB38;SETD5
C3orf63;SLC35F3;INSIG2
LPCAT1;MYBL2;PARP16
B4GALT6;MBOAT1;JAKMIP3
GNG4;CEP41;PDSS1
ABHD5;STAC;UBQLN2
LCORL;GCNT2;IQCB1
TRERF1;EDEM3;GPR110
MECOM;RUNDC3B;YAF2
WDR47;UBE3C;CCDC117
MLLT10;PLEKHM3;MICAL1
ARL6IP6;ELL2;SLC35D3
IL2RA;ATP6V0D1;TDG
DLX1;MAGI3;ACVR1
TIGD6;ZCCHC24;L3MBTL4
IKZF2;ARHGAP26;LMO7
APBB2;CLOCK;ACBD5
PPPDE1;AP5M1;RNF122
LOC286434;CFL2;ZNF238
ALDH2;ATRN;EDAR
SNX10;DAGLA;ASAP2
SGOL1;PLXNA1;CCDC18
ZFX;RARB;PSMD10
ELOVL7;RAP2C;ZMPSTE24
LOC100133029;MSANTD3-TMEFF1;TMC8
AP3D1;TMEFF1;FAM199X
ANKRD10;USP48;KIAA1279
PRNP;PFN2;USP14
FXR1;ZNF608;SLC24A1
RGS10;EPC2;TOX
EYA1;DGKZ;CHD1
NIF3L1;RAB22A;ZKSCAN1
LOC90925;ERLIN1;FANCL
BCL2L1;BCOR;TRIM13
