miranda;targetscan;ABCG1
C20orf4;;
TBC1D17;;
COPS4;;
MBD5;;
ZNF253;;
KCTD11;;
CDHR4;;
CDC42SE1;;
BDP1;;
EBF2;;
HELB;;
LCA5;;
LOC100129461;;
TP63;;
HDAC8;;
C10orf4;;
FSTL5;;
SGCE;;
PRKAR2A;;
ECHDC1;;
C14orf129;;
CELF1;;
CADM1;;
PDE7A;;
ANGEL1;;
STXBP5;;
LRRC37B2;;
CCDC36;;
CELF4;;
PIK3R3;;
MRPL35;;
ANXA4;;
ASFMR1;;
ZNF790;;
WDR78;;
LOC400696;;
SKA1;;
CNPY3;;
MRM1;;
ZFP64;;
ANKS1A;;
LOC100286844;;
FAM82B;;
C8orf83;;
HMGXB4;;
KRT222;;
TNFSF11;;
LPO;;
C5orf25;;
ADAMTS4;;
CNTN1;;
HMGN2;;
NCOR2;;
WTAP;;
RAB3B;;
TUBA1A;;
EP300;;
MPL;;
TMED4;;
BTN2A1;;
ZNF492;;
ANKFY1;;
STK32B;;
IFT172;;
CENPN;;
ZFP30;;
FGFBP3;;
SCN5A;;
ANKRD36B;;
SOCS7;;
MTM1;;
LOC400940;;
C3orf58;;
FBXW8;;
ADIPOQ;;
TCTN2;;
COL24A1;;
GAS2;;
ABHD14A;;
RUNDC2B;;
PRAMEF22;;
PANX1;;
UFM1;;
POLM;;
RNF7;;
EIF5B;;
PRDX6;;
BAT2;;
GPR4;;
DPF2;;
ZNF365;;
ANK3;;
FAHD1;;
YTHDC2;;
CYMP;;
PLCG1;;
MAP4;;
KIAA1751;;
ADCY7;;
IL17RB;;
MAP3K7;;
CCDC8;;
PUM2;;
MAP4K4;;
IFNAR2;;
MRPL9;;
HAS3;;
PPM1A;;
KAL1;;
NCK2;;
RPS29;;
C9orf3;;
CRCP;;
EYS;;
BLOC1S2;;
LOC100132984;;
ZFYVE26;;
STAT2;;
TNFSF8;;
TAG;;
ZFP42;;
PMFBP1;;
WNK3;;
HMGA2;;
TRPM6;;
WISP3;;
SULF1;;
PIK3CA;;
EFHB;;
C8orf84;;
ERG;;
ARG2;;
SLC38A2;;
NSMCE4A;;
PIM1;;
DAAM2;;
PSMD14;;
TMEM62;;
FAM60A;;
C4orf32;;
TMEM57;;
F7;;
KDM4A;;
PNPLA4;;
WDR74;;
KCNE3;;
PIGL;;
ARHGEF12;;
POP1;;
CNOT2;;
FBXO30;;
DFFB;;
DCUN1D4;;
CETN1;;
MSR1;;
OSGEPL1;;
PCDH19;;
CNOT10;;
ISG20;;
ZNF568;;
RMST;;
TCP1;;
PCNA;;
RBBP7;;
KCNH5;;
ZC3HC1;;
PRKCE;;
PIGK;;
DYNLL1;;
FAM10A4;;
PPIG;;
IDH3B;;
OSBP2;;
LYZ;;
FNDC3A;;
CRADD;;
C10orf111;;
ZNF141;;
LPPR5;;
TGS1;;
NLGN4Y;;
RHOT1;;
TMEM164;;
ELOVL2;;
H3F3C;;
NHLH2;;
CPNE4;;
CTSS;;
C17orf86;;
PMCHL2;;
DLD;;
TSEN34;;
TMEM146;;
HTR2A;;
PDZD2;;
LYVE1;;
DLC1;;
TMPO;;
GPR61;;
C3orf33;;
TAPBP;;
CCDC88A;;
CTNNA1;;
TMEM184C;;
PDGFRA;;
MGST1;;
TMEM41A;;
CD40;;
MAGT1;;
IRAK2;;
BET1;;
HOOK1;;
CROT;;
IL11;;
ENOX2;;
CEP78;;
MKNK2;;
LTBP2;;
LOC96610;;
ELMOD3;;
C9orf85;;
IQGAP3;;
ZNF501;;
KIAA1712;;
POLH;;
DENND5B;;
CYP24A1;;
TSGA10;;
LMAN1L;;
C21orf63;;
TNFRSF11B;;
MTMR14;;
IMPA2;;
CAMK2G;;
SLC35E1;;
FAM154B;;
SNORA33;;
LOC100128025;;
FAM83H;;
DAPK1;;
C14orf28;;
CR1L;;
C7orf53;;
SBF2;;
FAM129A;;
TSPAN18;;
RNF31;;
TRAM1;;
ABCA4;;
RNF213;;
ARSK;;
BRWD1;;
LOC285194;;
APOL6;;
C16orf54;;
LOC100128338;;
CRISP1;;
CCBP2;;
C13orf34;;
SEMA4D;;
SLC10A4;;
RTCD1;;
ESCO2;;
DDX11L1;;
EAF2;;
LOC100288797;;
TPMT;;
MAPRE1;;
BPY2;;
TBC1D29;;
KIAA0753;;
CYBRD1;;
BTBD7;;
COPS6;;
UTP14A;;
SNX18;;
RIMS2;;
NMT2;;
PRRT3;;
DDX11L11;;
FEZ1;;
UTP15;;
CXCL9;;
PGM5;;
MYLK;;
CCDC62;;
WDR26;;
SSH2;;
PRKCI;;
PTCHD2;;
B3GNT5;;
FXR2;;
FIGN;;
TMEM209;;
METTL13;;
KANK4;;
COL4A1;;
C17orf65;;
SCARA5;;
ZNF425;;
ADAP2;;
SS18L2;;
RNF165;;
GALNT6;;
DDHD2;;
NEGR1;;
TFAP2C;;
SLCO2B1;;
TMEM167B;;
KIAA1310;;
AGMAT;;
SFMBT2;;
C4BPB;;
ELAVL2;;
SCARNA16;;
TIMM50;;
LTBP4;;
PSMB2;;
ALKBH1;;
ANKRD22;;
C10orf137;;
SMTNL2;;
LOC100288077;;
AKAP13;;
CHMP1B;;
LOC149684;;
SAP30BP;;
HSF5;;
CREBL2;;
GPR52;;
ASPN;;
OSTalpha;;
CCNG1;;
PSMD5;;
MTHFD1L;;
LRRC9;;
CGREF1;;
GABRG1;;
SLC23A2;;
C3orf16;;
GATA6;;
FUT1;;
LOC643401;;
KCTD18;;
ZNF510;;
ICK;;
CYorf15A;;
BLOC1S3;;
BBS9;;
SDC1;;
ART3;;
FUBP3;;
HTR7;;
RABEP1;;
RDH10;;
ZNF331;;
PTPN2;;
GALNTL2;;
HBP1;;
FAM46D;;
CHRNA3;;
UBOX5;;
SGCZ;;
DPT;;
ARSI;;
LRRC47;;
C1orf77;;
PCYT1A;;
TTLL11;;
DCLK3;;
TTC12;;
CDK10;;
CRLF3;;
SIP1;;
LPIN3;;
SCNN1G;;
FLJ23152;;
E2F3;;
C6orf192;;
USP34;;
TRAPPC2;;
TMEM180;;
PRMT8;;
HIVEP2;;
L3MBTL3;;
EIF2AK2;;
C17orf78;;
IFFO2;;
SNORD116-21;;
LRRC37A2;;
PJA2;;
CDX2;;
BICD1;;
LOC646813;;
STARD13;;
NUDT7;;
VPS72;;
HS6ST2;;
SUZ12;;
CYP7B1;;
PVT1;;
ZFAND1;;
LOC400019;;
RBM34;;
PJA1;;
DDX10;;
MTBP;;
ERAL1;;
GNB2L1;;
C17orf57;;
NAV3;;
TSC1;;
ETV3L;;
ZNF626;;
TMEM53;;
CNIH4;;
GFRAL;;
LOC643406;;
TFAP4;;
LCMT2;;
FMN1;;
RALGPS2;;
CNTFR;;
ELOVL6;;
CSGALNACT2;;
ATCAY;;
ALPL;;
FASLG;;
HNRNPD;;
NLRP1;;
C10orf68;;
IAH1;;
AMY2B;;
RBP1;;
CDK13;;
POLR2J3;;
ZIC3;;
FBXO42;;
TXNRD2;;
ST7L;;
SMC4;;
C1orf190;;
TBRG1;;
TRNT1;;
CSMD2;;
LRRC8B;;
APOBEC3B;;
DDX5;;
PRAMEF18;;
NDUFV3;;
PER4;;
ICA1L;;
TAT;;
SENP8;;
LOC645513;;
ZNF367;;
MLLT4;;
THSD7B;;
CA13;;
LIMA1;;
LSM10;;
KRTCAP2;;
KCNMB4;;
KLHL30;;
ARSJ;;
HIF1A;;
ITIH2;;
STK10;;
INO80C;;
FAM57B;;
DNAJC16;;
EXOC6;;
MUM1L1;;
ST13;;
FLJ39824;;
UQCRQ;;
Mar-02;;
DCDC2;;
SLU7;;
WDR55;;
POMT2;;
RPL30;;
UPRT;;
PIGR;;
CAMLG;;
MMADHC;;
LOC100134868;;
VWC2L;;
CD74;;
LOC100129858;;
SLCO4C1;;
PYROXD1;;
C10orf44;;
TMEM27;;
BAZ1A;;
PIBF1;;
TNFRSF10D;;
FCAR;;
AXL;;
XRN1;;
PLCXD2;;
PSD;;
GIMAP8;;
IL1RAP;;
PIP4K2A;;
ACVRL1;;
GOSR2;;
B9D1;;
LOC284276;;
TM4SF19;;
DDX58;;
GOLPH3L;;
ZNF689;;
AMPD2;;
FAM40B;;
HERC3;;
NKPD1;;
FKBP9;;
DCLRE1C;;
KIF1B;;
MRPS36;;
GINS3;;
FZD1;;
ID4;;
BEND3;;
ZNF527;;
OTUD6A;;
LRRTM4;;
NVL;;
SMARCC1;;
EPHB2;;
NTRK2;;
DCAF12;;
MOAP1;;
POU3F2;;
NXT2;;
C4orf46;;
ANKH;;
PLA2G3;;
KCTD16;;
LONP2;;
PRAMEF13;;
TMEM138;;
SNAPC3;;
PTENP1;;
TOB1;;
SGEF;;
RPS6KB1;;
C6orf162;;
SFTPC;;
LOC285547;;
TTF2;;
KL;;
FAM108B1;;
MYO9A;;
HDAC4;;
DNAJB6;;
GAPVD1;;
PPEF2;;
FAM159A;;
BICD2;;
CDA;;
BAP1;;
GTPBP8;;
RABEPK;;
EXOSC6;;
C11orf88;;
DMRT3;;
GPR62;;
OR51E1;;
PARK7;;
HINFP;;
ZNF716;;
FLJ36031;;
DPY19L3;;
RTN4IP1;;
